id_obec;obec;id_obec_nuts;id_okres;gps_lon;gps_lat;obec_alt_nazov;obec_dlhy_nazov;populacia
508454;Badín;SK0321508454;601;19,120957;48,665573;Badín;Badín;2031
508471;Baláže;SK0321508471;601;19,195536;48,813729;Baláže;Baláže;224
508438;Banská Bystrica;SK0321508438;601;19,146192;48,736277;Banská Bystrica;Banská Bystrica;77482
508675;Brusno;SK0321508675;601;19,389104;48,790209;Brusno;Brusno;2187
508519;Čerín;SK0321508519;601;19,247408;48,660661;Čerín;Čerín;453
508543;Dolná Mičiná;SK0321508543;601;19,221089;48,67284;Dolná Mičiná;Dolná Mičiná;446
508551;Dolný Harmanec;SK0321508551;601;19,053764;48,808598;Dolný Harmanec;Dolný Harmanec;272
508560;Donovaly;SK0321508560;601;19,222458;48,880122;Donovaly;Donovaly;262
508586;Dúbravica;SK0321508586;601;19,271793;48,677793;Dúbravica;Dúbravica;430
508594;Harmanec;SK0321508594;601;19,078445;48,794996;Harmanec;Harmanec;838
508616;Hiadeľ;SK0321508616;601;19,315932;48,809386;Hiadeľ;Hiadeľ;518
508632;Horná Mičiná;SK0321508632;601;19,211528;48,698004;Horná Mičiná;Horná Mičiná;664
508641;Horné Pršany;SK0321508641;601;19,08495;48,700191;Horné Pršany;Horné Pršany;399
508659;Hrochoť;SK0321508659;601;19,312271;48,655447;Hrochoť;Hrochoť;1469
580236;Hronsek;SK0321580236;601;19,15664;48,652472;Hronsek;Hronsek;667
508713;Kordíky;SK0321508713;601;19,022232;48,771777;Kordíky;Kordíky;480
508721;Králiky;SK0321508721;601;19,036745;48,734982;Králiky;Králiky;685
557277;Kynceľová;SK0321557277;601;19,185747;48,751024;Kynceľová;Kynceľová;366
508748;Ľubietová;SK0321508748;601;19,362829;48,746466;Ľubietová;Ľubietová;1251
508756;Lučatín;SK0321508756;601;19,319471;48,783358;Lučatín;Lučatín;673
580244;Malachov;SK0321580244;601;19,088698;48,710247;Malachov;Malachov;1114
508764;Medzibrod;SK0321508764;601;19,352223;48,791662;Medzibrod;Medzibrod;1379
508799;Moštenica;SK0321508799;601;19,292267;48,807198;Moštenica;Moštenica;244
508802;Motyčky;SK0321508802;601;19,170129;48,860449;Motyčky;Motyčky;106
508781;Môlča;SK0321508781;601;19,231268;48,7188;Môlča;Môlča;394
557285;Nemce;SK0321557285;601;19,184494;48,764633;Nemce;Nemce;1164
508837;Oravce;SK0321508837;601;19,263625;48,684806;Oravce;Oravce;179
508861;Podkonice;SK0321508861;601;19,255933;48,799365;Podkonice;Podkonice;920
508896;Pohronský Bukovec;SK0321508896;601;19,378226;48,837517;Pohronský Bukovec;Pohronský Bukovec;115
508918;Poniky;SK0321508918;601;19,290028;48,71023;Poniky;Poniky;1567
508926;Povrazník;SK0321508926;601;19,364949;48,71603;Povrazník;Povrazník;142
508942;Priechod;SK0321508942;601;19,231792;48,779106;Priechod;Priechod;992
508969;Riečka;SK0321508969;601;19,075019;48,75797;Riečka (BB);Riečka, okres Banská Bystrica;836
508977;Sebedín-Bečov;SK0321508977;601;19,2399907;48,6369441;Sebedín-Bečov;Sebedín-Bečov;363
508985;Selce;SK0321508985;601;19,206689;48,764809;Selce (BB);Selce, okres Banská Bystrica;2147
509001;Slovenská Ľupča;SK0321509001;601;19,275786;48,765451;Slovenská Ľupča;Slovenská Ľupča;3242
509019;Staré Hory;SK0321509019;601;19,114853;48,839048;Staré Hory;Staré Hory;537
509027;Strelníky;SK0321509027;601;19,393028;48,723773;Strelníky;Strelníky;783
509035;Špania Dolina;SK0321509035;601;19,134093;48,80747;Špania Dolina;Špania Dolina;217
509060;Tajov;SK0321509060;601;19,069941;48,746047;Tajov;Tajov;667
557269;Turecká;SK0321557269;601;19,087788;48,848516;Turecká;Turecká;153
557293;Vlkanová;SK0321557293;601;19,146939;48,668291;Vlkanová;Vlkanová;1299
516601;Baďan;SK0322516601;602;18,840758;48,3319;Baďan;Baďan;171
516627;Banská Belá;SK0322516627;602;18,933373;48,475338;Banská Belá;Banská Belá;1197
516643;Banská Štiavnica;SK0322516643;602;18,893035;48,458653;Banská Štiavnica;Banská Štiavnica;9911
516651;Banský Studenec;SK0322516651;602;18,970769;48,446338;Banský Studenec;Banský Studenec;471
516678;Beluj;SK0322516678;602;18,892693;48,351702;Beluj;Beluj;137
516716;Dekýš;SK0322516716;602;18,8155;48,396751;Dekýš;Dekýš;198
516856;Ilija;SK0322516856;602;18,899389;48,419132;Ilija;Ilija;350
516953;Kozelník;SK0322516953;602;18,997509;48,51353;Kozelník;Kozelník;161
517071;Močiar;SK0322517071;602;18,945393;48,541446;Močiar;Močiar;159
517160;Počúvadlo;SK0322517160;602;18,834763;48,366312;Počúvadlo;Počúvadlo;94
517143;Podhorie;SK0322517143;602;18,919328;48,512574;Podhorie (BS);Podhorie, okres Banská Štiavnica;329
517178;Prenčov;SK0322517178;602;18,92423;48,358672;Prenčov;Prenčov;636
516597;Svätý Anton;SK0322516597;602;18,939201;48,417606;Svätý Anton;Svätý Anton;1231
517283;Štiavnické Bane;SK0322517283;602;18,865273;48,439442;Štiavnické Bane;Štiavnické Bane;816
517372;Vysoká;SK0322517372;602;18,790441;48,412468;Vysoká (BS);Vysoká, okres Banská Štiavnica;143
508446;Bacúch;SK0323508446;603;19,805998;48,859294;Bacúch;Bacúch;898
508462;Beňuš;SK0323508462;603;19,757476;48,828961;Beňuš;Beňuš;1174
508489;Braväcovo;SK0323508489;603;19,749829;48,839927;Braväcovo;Braväcovo;680
508497;Brezno;SK0323508497;603;19,643888;48,806356;Brezno;Brezno;20691
557251;Bystrá;SK0323557251;603;19,599434;48,84164;Bystrá (BR);Bystrá, okres Brezno;175
508527;Čierny Balog;SK0323508527;603;19,651341;48,74818;Čierny Balog;Čierny Balog;5100
508535;Dolná Lehota;SK0323508535;603;19,505779;48,834871;Dolná Lehota;Dolná Lehota;707
508578;Drábsko;SK0323508578;603;19,655777;48,648665;Drábsko;Drábsko;177
508608;Heľpa;SK0323508608;603;19,969363;48,860657;Heľpa;Heľpa;2494
508667;Hronec;SK0323508667;603;19,581984;48,794766;Hronec;Hronec;1187
508691;Jarabá;SK0323508691;603;19,688596;48,890004;Jarabá;Jarabá;40
508705;Jasenie;SK0323508705;603;19,457834;48,836262;Jasenie;Jasenie;1175
508730;Lom nad Rimavicou;SK0323508730;603;19,648592;48,641562;Lom nad Rimavicou;Lom nad Rimavicou;239
508772;Michalová;SK0323508772;603;19,779673;48,762529;Michalová;Michalová;1333
508811;Mýto pod Ďumbierom;SK0323508811;603;19,632305;48,852368;Mýto pod Ďumbierom;Mýto pod Ďumbierom;533
508829;Nemecká;SK0323508829;603;19,418557;48,814092;Nemecká;Nemecká;1770
508845;Osrblie;SK0323508845;603;19,525923;48,755293;Osrblie;Osrblie;369
508853;Podbrezová;SK0323508853;603;19,538867;48,810356;Podbrezová;Podbrezová;3783
508870;Pohorelá;SK0323508870;603;20,016562;48,861732;Pohorelá;Pohorelá;2117
508888;Pohronská Polhora;SK0323508888;603;19,799098;48,755156;Pohronská Polhora;Pohronská Polhora;1718
508900;Polomka;SK0323508900;603;19,852558;48,852131;Polomka;Polomka;2949
508934;Predajná;SK0323508934;603;19,462212;48,815175;Predajná;Predajná;1315
508951;Ráztoka;SK0323508951;603;19,401339;48,820133;Ráztoka;Ráztoka;270
508993;Sihla;SK0323508993;603;19,646975;48,657538;Sihla;Sihla;190
509043;Šumiac;SK0323509043;603;20,129853;48,840071;Šumiac;Šumiac;1258
509051;Telgárt;SK0323509051;603;20,188444;48,851701;Telgárt;Telgárt;1516
509086;Valaská;SK0323509086;603;19,574405;48,815052;Valaská;Valaská;3576
509094;Vaľkovňa;SK0323509094;603;20,068437;48,83455;Vaľkovňa;Vaľkovňa;441
509124;Závadka nad Hronom;SK0323509124;603;19,911428;48,850298;Závadka nad Hronom;Závadka nad Hronom;2280
518263;Detva;SK0324518263;604;19,419143;48,560376;Detva;Detva;14402
518271;Detvianska Huta;SK0324518271;604;19,591499;48,566486;Detvianska Huta;Detvianska Huta;683
518379;Dúbravy;SK0324518379;604;19,369385;48,587402;Dúbravy;Dúbravy;945
518450;Horný Tisovník;SK0324518450;604;19,36315;48,415608;Horný Tisovník;Horný Tisovník;173
518468;Hriňová;SK0324518468;604;19,527755;48,578;Hriňová;Hriňová;7338
518492;Klokoč;SK0324518492;604;19,338905;48,502831;Klokoč;Klokoč;479
580520;Korytárky;SK0324580520;604;19,471284;48,546911;Korytárky;Korytárky;957
518549;Kriváň;SK0324518549;604;19,44496;48,530146;Kriváň;Kriváň;1757
511510;Látky;SK0324511510;604;19,634043;48,580261;Látky;Látky;583
511731;Podkriváň;SK0324511731;604;19,457302;48,514009;Podkriváň;Podkriváň;573
518794;Slatinské Lazy;SK0324518794;604;19,29971;48,499838;Slatinské Lazy;Slatinské Lazy;544
518816;Stará Huta;SK0324518816;604;19,344171;48,474151;Stará Huta;Stará Huta;327
518824;Stožok;SK0324518824;604;19,357376;48,533676;Stožok;Stožok;1088
518921;Vígľaš;SK0324518921;604;19,293473;48,555371;Vígľaš;Vígľaš;1556
518930;Vígľašská Huta-Kalinka;SK0324518930;604;19,2785571;48,4920732;Vígľašská Huta-Kalinka;Vígľašská Huta-Kalinka;328
518212;Bzovík;SK0325518212;605;19,088667;48,320311;Bzovík;Bzovík;1175
518239;Cerovo;SK0325518239;605;19,157196;48,254658;Cerovo;Cerovo;580
518247;Čabradský Vrbovok;SK0325518247;605;19,077331;48,256965;Čabradský Vrbovok;Čabradský Vrbovok;233
518255;Čekovce;SK0325518255;605;19,121678;48,350739;Čekovce;Čekovce;469
518280;Devičie;SK0325518280;605;19,025667;48,308385;Devičie;Devičie;300
518301;Dolné Mladonice;SK0325518301;605;19,127965;48,338325;Dolné Mladonice;Dolné Mladonice;127
518310;Dolný Badín;SK0325518310;605;19,066898;48,26949;Dolný Badín;Dolný Badín;251
518336;Domaníky;SK0325518336;605;18,990158;48,263473;Domaníky;Domaníky;194
518344;Drážovce;SK0325518344;605;18,906896;48,251776;Drážovce;Drážovce;127
518352;Drienovo;SK0325518352;605;19,061934;48,23033;Drienovo;Drienovo;106
518387;Dudince;SK0325518387;605;18,880261;48,171261;Dudince;Dudince;1388
518409;Hontianske Moravce;SK0325518409;605;18,85303;48,187742;Hontianske Moravce;Hontianske Moravce;817
518417;Hontianske Nemce;SK0325518417;605;18,990963;48,284762;Hontianske Nemce;Hontianske Nemce;1428
518425;Hontianske Tesáre;SK0325518425;605;18,92106;48,201521;Hontianske Tesáre;Hontianske Tesáre;905
518433;Horné Mladonice;SK0325518433;605;19,150982;48,343842;Horné Mladonice;Horné Mladonice;187
